Michael Thomas,NO,119.7,"1,402.1",9.3,0.9,5.8,0.0,0.6,195.2
,high,125.0,"1,445.6",9.7,0.9,5.8,0.0,0.6,203.2
,low,114.5,"1,358.5",8.9,0.9,5.8,0.0,0.6,187.9
Tyreek Hill,KC,81.1,"1,182.9",8.8,8.9,58.0,0.5,0.3,179.3
,high,83.9,"1,252.2",9.1,10.5,66.0,0.6,0.3,187.1
,low,78.4,"1,113.6",8.6,7.4,49.9,0.3,0.3,172.4
Davante Adams,GB,101.2,"1,244.9",8.8,0.0,0.0,0.0,0.6,175.9
,high,110.1,"1,323.0",10.1,0.0,0.0,0.0,0.6,191.9
,low,92.3,"1,166.8",7.5,0.0,0.0,0.0,0.6,160.5
Julio Jones,ATL,93.5,"1,304.6",6.4,1.1,6.4,0.0,0.5,168.5
,high,98.4,"1,368.0",6.6,1.8,10.6,0.0,0.5,173.2
,low,88.6,"1,241.1",6.2,0.3,2.3,0.0,0.5,163.7
Chris Godwin,TB,89.0,"1,207.0",7.5,2.2,14.9,0.2,0.6,167.3
,high,94.3,"1,264.4",7.7,2.2,14.9,0.2,0.6,172.9
,low,83.6,"1,149.6",7.4,2.2,14.9,0.2,0.6,158.3
Mike Evans,TB,78.8,"1,147.0",8.2,1.4,9.4,0.0,0.4,164.6
,high,84.4,"1,171.0",8.9,1.4,9.4,0.0,0.4,164.7
,low,73.1,"1,123.0",7.6,1.4,9.4,0.0,0.4,163.6
DeAndre Hopkins,ARI,94.9,"1,169.6",7.5,2.2,13.3,0.1,0.6,162.3
,high,100.5,"1,239.0",7.6,3.8,22.9,0.1,0.6,169.6
,low,89.3,"1,100.2",7.3,0.5,3.6,0.0,0.6,155.7
Kenny Golladay,DET,72.7,"1,176.5",7.4,0.0,0.0,0.0,0.5,161.1
,high,79.7,"1,244.8",7.9,0.0,0.0,0.0,0.5,165.3
,low,65.8,"1,108.2",6.9,0.0,0.0,0.0,0.5,157.2
Adam Thielen,MIN,80.2,"1,099.8",6.6,4.5,27.5,0.2,0.6,152.1
,high,82.0,"1,108.2",6.7,4.6,30.3,0.2,0.6,153.8
,low,78.4,"1,091.4",6.4,4.4,24.7,0.2,0.6,151.7
Odell Beckham Jr.,CLE,75.7,"1,072.6",7.2,2.1,12.3,0.1,0.4,151.4
,high,79.4,"1,137.5",7.7,4.1,24.0,0.1,0.4,158.9
,low,72.0,"1,007.7",6.7,0.1,0.5,0.0,0.4,143.7
Amari Cooper,DAL,77.3,"1,085.6",7.0,1.0,6.1,0.0,0.5,150.3
,high,79.4,"1,096.1",7.5,2.0,12.2,0.1,0.5,154.0
,low,75.2,"1,075.1",6.5,0.0,0.0,0.0,0.5,147.2
D.J. Moore,CAR,87.7,"1,147.5",5.0,7.2,49.5,0.2,1.0,149.1
,high,88.2,"1,167.2",5.8,7.3,49.5,0.2,1.0,155.0
,low,87.3,"1,127.8",4.3,7.1,49.4,0.2,1.0,142.5
JuJu Smith-Schuster,PIT,84.9,"1,098.3",6.6,0.0,0.0,0.0,0.5,148.6
,high,89.3,"1,163.0",6.6,0.0,0.0,0.0,0.5,155.3
,low,80.4,"1,033.6",6.6,0.0,0.0,0.0,0.5,142.2
A.J. Brown,TEN,67.5,"1,064.9",6.6,3.4,21.6,0.2,0.5,148.3
,high,69.5,"1,106.8",7.1,4.5,27.4,0.2,0.5,148.9
,low,65.4,"1,022.9",6.1,2.4,15.8,0.2,0.5,147.6
Allen Robinson II,CHI,87.7,"1,074.8",6.3,2.4,14.8,0.1,0.4,146.6
,high,90.3,"1,106.6",7.0,3.0,19.0,0.2,0.4,155.4
,low,85.1,"1,042.9",5.5,1.8,10.6,0.0,0.4,138.2
Calvin Ridley,ATL,79.4,"1,047.0",6.7,1.4,9.3,0.0,0.4,145.2
,high,82.5,"1,083.9",6.8,1.8,11.6,0.0,0.4,148.9
,low,76.2,"1,010.1",6.7,1.0,7.0,0.0,0.4,141.7
Tyler Lockett,SEA,73.3,985.9,7.0,4.3,27.6,0.2,0.4,143.3
,high,74.1,990.3,7.0,4.5,28.2,0.2,0.4,143.3
,low,72.4,981.5,7.0,4.2,27.0,0.1,0.4,142.7
Courtland Sutton,DEN,74.9,"1,055.3",6.1,1.3,8.1,0.0,0.7,141.8
,high,76.6,"1,061.1",6.6,2.3,13.6,0.1,0.7,145.1
,low,73.2,"1,049.5",5.6,0.3,2.6,0.0,0.7,138.9
Robert Woods,LAR,83.2,"1,035.8",4.3,13.1,87.7,0.6,0.4,141.1
,high,83.5,"1,054.9",5.2,15.4,100.5,0.8,0.4,144.0
,low,83.0,"1,016.6",3.3,10.9,75.0,0.5,0.4,139.3
T.Y. Hilton,IND,71.5,"1,037.8",6.1,0.0,0.0,0.0,0.4,139.3
