Michael Thomas,NO,124.7,"1,484.2",8.9,0.0,-3.0,0.0,0.8,200.4
,high,135.0,"1,610.0",9.0,0.0,-3.0,0.0,0.6,214.7
,low,114.5,"1,358.5",8.9,0.0,-3.0,0.0,1.0,187.9
Tyreek Hill,KC,82.2,"1,191.3",8.8,13.7,86.0,0.8,0.7,184.0
,high,86.0,"1,269.0",9.0,17.0,106.0,1.0,0.3,197.5
,low,78.4,"1,113.6",8.6,10.5,66.0,0.6,1.0,172.4
Davante Adams,GB,101.1,"1,294.4",9.3,0.0,0.0,0.0,0.8,183.3
,high,110.0,"1,422.0",11.0,0.0,0.0,0.0,0.6,208.2
,low,92.3,"1,166.8",7.5,0.0,0.0,0.0,1.0,160.5
Julio Jones,ATL,101.3,"1,407.1",6.3,1.9,7.3,0.0,0.8,177.7
,high,114.0,"1,573.0",6.6,2.0,10.6,0.0,0.5,193.7
,low,88.6,"1,241.1",6.0,1.8,4.0,0.0,1.0,163.7
Kenny Golladay,DET,67.4,"1,172.1",8.4,1.0,5.0,0.0,0.7,166.9
,high,69.0,"1,236.0",9.0,1.0,5.0,0.0,0.5,178.1
,low,65.8,"1,108.2",7.9,1.0,5.0,0.0,1.0,157.2
Mike Evans,TB,69.6,"1,169.0",7.9,0.0,0.0,0.0,0.7,163.1
,high,73.1,"1,215.0",8.9,0.0,0.0,0.0,0.4,164.7
,low,66.0,"1,123.0",7.0,0.0,0.0,0.0,1.0,163.5
Chris Godwin,TB,79.3,"1,162.3",7.7,1.0,5.0,0.0,0.8,161.4
,high,83.6,"1,175.0",8.0,1.0,5.0,0.0,0.6,166.0
,low,75.0,"1,149.6",7.4,1.0,5.0,0.0,1.0,158.3
DeAndre Hopkins,ARI,95.6,"1,144.1",7.7,2.4,13.4,0.1,0.8,160.5
,high,102.0,"1,188.0",8.0,3.8,22.9,0.1,0.6,167.2
,low,89.3,"1,100.2",7.3,1.0,4.0,0.0,1.0,155.7
Adam Thielen,MIN,76.7,"1,082.1",7.2,5.7,25.3,0.6,0.8,156.0
,high,78.4,"1,108.2",8.0,7.0,26.0,1.0,0.6,162.2
,low,75.0,"1,056.0",6.4,4.4,24.7,0.2,1.0,151.7
A.J. Brown,TEN,61.2,"1,051.0",7.0,4.2,43.7,0.6,0.7,153.7
,high,65.4,"1,079.0",7.1,4.5,60.0,1.0,0.5,161.9
,low,57.0,"1,022.9",7.0,4.0,27.4,0.2,1.0,147.6
Tyler Lockett,SEA,74.2,"1,053.3",7.5,6.2,27.5,0.1,0.7,152.0
,high,76.0,"1,125.0",8.0,8.0,28.0,0.1,0.4,163.3
,low,72.4,981.5,7.0,4.5,27.0,0.0,1.0,142.7
Cooper Kupp,LAR,84.5,"1,040.9",7.8,3.9,19.7,0.1,0.9,151.8
,high,89.0,"1,084.0",10.0,4.0,22.5,0.1,0.8,170.1
,low,80.0,997.8,5.7,3.9,17.0,0.0,1.0,135.4
Marquise Brown,BAL,62.6,872.6,6.8,19.0,180.0,1.0,0.7,150.7
,high,64.2,885.0,7.0,19.0,180.0,1.0,0.3,154.5
,low,61.0,860.2,6.6,19.0,180.0,1.0,1.0,124.9
Amari Cooper,DAL,73.6,"1,064.5",7.3,1.5,13.1,0.0,0.7,150.0
,high,75.2,"1,075.1",8.0,2.0,14.0,0.1,0.5,154.8
,low,72.0,"1,054.0",6.5,1.0,12.2,0.0,1.0,147.2
Calvin Ridley,ATL,78.1,"1,011.5",7.8,2.9,21.3,0.0,0.7,149.0
,high,80.0,"1,013.0",9.0,4.0,31.0,0.0,0.4,158.4
,low,76.2,"1,010.1",6.7,1.8,11.6,0.0,1.0,141.7
D.J. Moore,CAR,84.2,"1,191.9",4.1,8.0,73.8,0.1,1.5,149.0
,high,87.3,"1,256.0",4.3,9.0,98.0,0.2,1.0,159.4
,low,81.0,"1,127.8",4.0,7.1,49.5,0.0,2.0,142.5
Courtland Sutton,DEN,68.6,"1,072.8",6.8,2.2,9.8,0.0,0.8,147.7
,high,73.2,"1,096.0",7.0,2.3,13.6,0.1,0.7,152.2
,low,64.0,"1,049.5",6.6,2.0,6.0,0.0,1.0,145.1
Odell Beckham Jr.,CLE,74.0,"1,081.4",6.4,4.6,21.5,0.1,0.7,147.5
,high,76.0,"1,155.0",6.7,5.0,24.0,0.1,0.4,153.4
,low,72.0,"1,007.7",6.0,4.1,19.0,0.0,1.0,143.7
JuJu Smith-Schuster,PIT,84.2,"1,102.8",6.3,1.0,8.0,0.0,0.7,147.5
,high,88.0,"1,172.0",6.6,1.0,8.0,0.0,0.5,154.0
,low,80.4,"1,033.6",6.0,1.0,8.0,0.0,1.0,142.2
Robert Woods,LAR,87.5,"1,109.5",3.7,17.7,105.7,0.9,0.7,147.4
,high,92.0,"1,164.0",4.0,20.0,111.0,1.0,0.4,157.5
,low,83.0,"1,054.9",3.3,15.4,100.5,0.8,1.0,139.3
T.Y. Hilton,IND,71.5,"1,064.8",6.7,0.0,0.0,0.0,0.7,145.4
,high,72.0,"1,106.0",7.0,0.0,0.0,0.0,0.4,152.6
,low,71.0,"1,023.5",6.4,0.0,0.0,0.0,1.0,140.2
Keenan Allen,LAC,87.3,"1,073.0",5.4,6.0,41.1,0.0,0.7,142.7
,high,91.0,"1,161.0",6.0,8.0,57.0,0.1,0.4,157.8
,low,83.6,985.0,4.8,4.1,25.2,0.0,1.0,129.6
D.K. Metcalf,SEA,64.6,982.5,7.8,2.1,10.7,0.0,1.8,142.6
,high,66.0,"1,054.0",8.0,2.2,11.4,0.1,0.6,154.4
,low,63.1,911.1,7.6,2.0,10.0,0.0,3.0,136.7
Jarvis Landry,CLE,73.9,"1,000.0",5.6,2.0,38.0,1.0,0.7,141.8
,high,74.7,"1,026.0",6.1,2.0,38.0,1.0,0.4,142.4
,low,73.0,974.1,5.0,2.0,38.0,1.0,1.0,133.5
Terry McLaurin,WAS,72.8,"1,065.8",6.0,0.0,0.0,0.0,0.7,141.1
,high,73.5,"1,072.0",7.0,0.0,0.0,0.0,0.4,149.2
,low,72.0,"1,059.6",5.0,0.0,0.0,0.0,1.0,135.0
Allen Robinson II,CHI,85.1,"1,063.0",5.8,1.4,7.8,0.0,0.7,140.5
,high,85.1,"1,083.0",6.0,1.8,10.6,0.0,0.4,144.8
,low,85.0,"1,042.9",5.5,1.0,5.0,0.0,1.0,138.2
Michael Gallup,DAL,63.4,"1,040.4",5.9,0.0,0.0,0.0,0.6,138.2
,high,64.8,"1,072.0",6.0,0.0,0.0,0.0,0.2,143.2
,low,62.0,"1,008.9",5.8,0.0,0.0,0.0,1.0,135.2
D.J. Chark Jr.,JAC,74.5,"1,006.5",6.1,1.3,10.7,0.0,0.7,136.8
,high,74.9,"1,015.0",7.0,1.6,13.0,0.0,0.5,144.8
,low,74.0,998.1,5.1,1.0,8.5,0.0,1.0,130.7
Stefon Diggs,BUF,67.0,982.5,5.5,7.6,62.7,0.0,0.9,135.7
,high,71.0,"1,014.0",6.0,11.0,99.0,0.1,0.7,147.3
,low,63.1,950.9,4.9,4.2,26.5,0.0,1.0,126.1
DeVante Parker,MIA,66.5,999.6,5.7,0.0,0.0,0.0,0.6,133.1
,high,69.9,"1,016.1",6.0,0.0,0.0,0.0,0.3,134.3
,low,63.0,983.0,5.5,0.0,0.0,0.0,1.0,134.0
Marvin Jones Jr.,DET,62.6,872.1,7.5,2.0,5.7,0.0,0.6,132.0
,high,63.0,887.2,8.0,2.0,11.5,0.1,0.2,133.7
,low,62.3,857.0,7.1,2.0,0.0,0.0,1.0,132.3
Julian Edelman,NE,79.6,927.0,4.9,10.9,70.5,0.1,0.8,128.3
,high,86.0,985.0,5.0,13.0,88.0,0.3,0.7,137.3
,low,73.3,868.9,4.8,8.9,53.1,0.0,1.0,121.4
A.J. Green,CIN,67.2,975.2,5.5,0.0,2.0,0.0,1.3,128.3
,high,68.5,"1,003.0",6.0,0.0,2.0,0.0,0.5,136.5
,low,66.0,947.5,5.0,0.0,2.0,0.0,2.0,123.8
Tyler Boyd,CIN,79.2,962.6,5.0,3.5,18.9,0.0,0.8,126.6
,high,80.0,"1,014.0",6.0,3.9,24.7,0.1,0.6,138.7
,low,78.4,911.2,3.9,3.0,13.0,0.0,1.0,116.5
Deebo Samuel,SF,54.7,754.5,3.8,17.6,190.1,1.4,0.8,124.0
,high,58.5,774.0,4.5,19.0,240.0,2.0,0.5,127.5
,low,51.0,735.0,3.0,16.2,140.3,0.8,1.0,122.4
Brandin Cooks,HOU,62.0,900.2,4.4,5.9,44.1,0.0,0.7,120.0
,high,64.0,945.0,4.9,8.0,64.0,0.1,0.3,124.9
,low,59.9,855.4,4.0,3.8,24.1,0.0,1.0,117.1
Will Fuller V,HOU,63.7,901.9,5.2,0.0,0.0,0.0,0.7,119.8
,high,71.0,"1,015.0",5.3,0.0,0.0,0.0,0.3,131.5
,low,56.5,788.8,5.0,0.0,0.0,0.0,1.0,110.1
Sterling Shepard,NYG,74.1,840.9,4.9,6.2,51.4,0.1,0.6,117.9
,high,74.2,857.0,5.8,7.5,51.8,0.2,0.3,123.0
,low,74.0,824.8,4.0,5.0,51.0,0.0,1.0,114.8
Diontae Johnson,PIT,68.9,817.7,5.9,4.0,31.4,0.1,1.4,117.8
,high,72.0,850.0,7.0,4.1,40.0,0.1,0.8,131.0
,low,65.8,785.4,4.8,4.0,22.8,0.0,2.0,108.6
Jamison Crowder,NYJ,73.8,837.6,5.5,3.0,19.0,0.0,0.7,117.4
,high,76.6,842.3,6.0,3.0,19.0,0.0,0.4,121.2
,low,71.0,833.0,5.1,3.0,19.0,0.0,1.0,113.7
Christian Kirk,ARI,68.0,786.0,4.8,11.6,92.1,0.2,0.6,116.5
,high,73.0,848.0,5.0,15.2,105.3,0.4,0.2,122.7
,low,63.0,724.0,4.6,8.0,79.0,0.0,1.0,112.3
John Brown,BUF,55.1,833.1,5.4,2.5,9.1,0.0,0.6,115.6
,high,55.1,874.0,6.0,3.0,12.2,0.1,0.2,124.0
